,Date,MinTemp,MaxTemp,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainTomorrow
9038,2009-01-15,23.0,33.4,7.0,19.0,61.0,39.0,1009.1,1006.0,28.6,33.1,Yes
9042,2009-01-27,20.2,23.9,9.0,7.0,95.0,93.0,1021.1,1019.9,20.8,22.4,Yes
9047,2009-02-09,20.9,22.5,20.0,17.0,84.0,81.0,1011.9,1011.7,21.2,20.6,Yes
9049,2009-02-15,16.5,23.3,19.0,22.0,88.0,66.0,1014.7,1013.9,19.4,23.1,Yes
9052,2009-03-08,20.2,25.3,11.0,19.0,80.0,77.0,1017.8,1018.7,22.2,22.0,Yes
9053,2009-03-14,19.9,27.2,2.0,20.0,82.0,64.0,1014.7,1010.1,22.3,26.8,Yes
9057,2009-03-31,19.8,22.5,20.0,26.0,86.0,89.0,1021.8,1020.4,21.1,19.9,Yes
9059,2009-04-21,16.4,22.1,33.0,15.0,59.0,64.0,1022.8,1021.3,20.5,20.1,Yes
9069,2009-05-23,15.4,20.8,,,66.0,80.0,1023.6,1023.3,19.6,18.1,Yes
9070,2009-05-29,11.4,17.5,20.0,26.0,65.0,65.0,1023.3,1022.3,12.4,16.6,Yes
9071,2009-06-02,12.5,19.1,13.0,15.0,91.0,68.0,1030.1,1027.1,13.7,18.5,Yes
9072,2009-06-03,13.7,18.5,6.0,19.0,89.0,87.0,1025.9,1022.3,16.0,17.6,Yes
9076,2009-06-17,10.5,15.6,19.0,6.0,92.0,87.0,1027.6,1026.5,11.2,14.2,Yes
9082,2009-07-08,8.6,16.8,15.0,4.0,96.0,61.0,1029.6,1028.2,10.5,15.4,Yes
9085,2009-07-16,8.1,16.5,24.0,22.0,78.0,47.0,1012.3,1010.3,9.2,14.5,Yes
9088,2009-07-22,11.2,24.7,15.0,24.0,54.0,39.0,1011.5,1005.4,19.7,24.0,Yes
9094,2009-08-11,9.1,16.8,13.0,13.0,81.0,64.0,1016.3,1012.5,11.7,16.3,Yes
9109,2009-10-02,16.5,20.7,,15.0,72.0,68.0,1013.4,1010.0,18.3,19.4,Yes
9110,2009-10-05,13.1,20.2,13.0,11.0,91.0,65.0,1020.3,1017.1,14.2,18.4,Yes
9111,2009-10-06,11.5,19.6,22.0,17.0,77.0,64.0,1020.6,1016.7,13.5,18.0,Yes
9112,2009-10-07,10.6,19.3,20.0,22.0,51.0,29.0,1014.2,1011.3,14.1,18.5,Yes
9116,2009-10-25,17.9,20.9,7.0,7.0,72.0,94.0,1016.0,1015.7,20.3,16.5,Yes
9128,2009-12-18,20.2,21.4,11.0,20.0,87.0,83.0,1014.1,1016.7,20.2,18.5,Yes
9130,2009-12-25,21.6,28.1,11.0,24.0,65.0,85.0,1010.1,1011.0,24.6,20.7,Yes
9131,2009-12-27,17.7,22.9,20.0,13.0,92.0,80.0,1017.9,1016.1,20.2,22.3,Yes
9133,2010-01-13,23.7,27.7,19.0,35.0,64.0,69.0,1010.9,1011.0,27.0,25.4,Yes
9136,2010-01-29,19.6,30.2,7.0,20.0,81.0,53.0,1008.6,1010.0,22.2,29.6,Yes
9139,2010-02-12,23.9,37.8,2.0,15.0,71.0,32.0,1008.7,1005.5,26.9,37.4,Yes
9140,2010-02-14,22.1,26.4,9.0,11.0,91.0,92.0,1007.3,1004.5,23.5,23.9,Yes
9143,2010-02-28,21.0,26.7,4.0,13.0,83.0,72.0,1017.1,1014.3,23.7,25.8,Yes
9149,2010-03-13,17.4,24.7,22.0,19.0,68.0,52.0,1034.3,1032.9,20.5,22.8,Yes
9157,2010-03-29,22.4,27.5,7.0,11.0,78.0,56.0,1016.9,1016.4,23.2,26.7,Yes
9158,2010-03-30,20.5,21.3,4.0,9.0,92.0,88.0,1019.8,1018.4,20.6,21.2,Yes
9160,2010-04-03,15.9,24.0,17.0,15.0,72.0,56.0,1021.4,1020.0,18.6,22.1,Yes
9161,2010-04-08,19.0,28.7,17.0,17.0,77.0,71.0,1012.5,1011.8,22.2,24.3,Yes
9170,2010-05-23,9.5,14.7,19.0,11.0,91.0,93.0,1023.6,1020.8,10.4,14.3,Yes
9172,2010-05-25,12.1,16.9,11.0,7.0,89.0,84.0,1011.7,1006.3,14.1,16.8,Yes
9173,2010-05-30,11.8,19.1,15.0,2.0,78.0,56.0,1003.2,1002.4,13.0,18.7,Yes
9176,2010-06-06,9.5,18.5,28.0,22.0,64.0,70.0,1014.7,1015.8,11.3,15.2,Yes
9183,2010-06-21,10.1,16.0,15.0,17.0,95.0,80.0,1032.8,1032.5,11.5,15.7,Yes
9184,2010-06-22,11.5,17.2,9.0,15.0,84.0,78.0,1037.0,1035.7,14.3,14.7,Yes
9189,2010-07-06,9.7,17.2,7.0,17.0,95.0,67.0,1016.7,1015.1,10.8,15.1,Yes
9190,2010-07-07,9.6,16.0,22.0,20.0,83.0,70.0,1023.9,1022.5,10.3,15.3,Yes
9191,2010-07-08,8.0,14.8,17.0,19.0,80.0,92.0,,1025.6,11.0,12.8,Yes
9194,2010-07-20,8.0,16.5,19.0,19.0,71.0,53.0,1022.4,1021.4,10.2,14.9,Yes
9196,2010-07-23,8.0,18.2,20.0,20.0,75.0,62.0,1032.6,1030.3,9.8,16.4,Yes
9197,2010-07-25,10.2,16.9,11.0,15.0,83.0,64.0,1029.9,1027.7,12.5,15.5,Yes
9202,2010-08-09,7.2,17.1,15.0,20.0,83.0,58.0,1023.5,1020.9,9.3,17.0,Yes
9207,2010-09-09,9.7,18.4,2.0,6.0,77.0,56.0,1017.5,1010.6,13.0,18.0,Yes
9212,2010-10-04,15.3,20.6,7.0,24.0,83.0,72.0,1026.2,1022.8,17.9,19.9,Yes
9215,2010-10-10,14.7,21.9,28.0,33.0,59.0,53.0,1031.2,1031.7,18.5,20.7,Yes
9217,2010-10-13,16.7,23.9,7.0,19.0,81.0,64.0,,,17.8,22.9,Yes
9224,2010-10-31,19.3,24.7,19.0,28.0,81.0,64.0,1012.0,1010.6,20.7,24.2,Yes
9225,2010-11-10,18.2,24.5,6.0,30.0,87.0,72.0,1021.8,1017.1,20.9,23.5,Yes
9231,2010-12-04,19.6,22.7,6.0,19.0,84.0,80.0,1013.0,1010.2,20.9,22.0,Yes
9240,2011-01-06,19.5,26.8,20.0,17.0,72.0,57.0,1010.8,1011.1,22.6,24.9,Yes
9241,2011-01-09,22.0,27.0,22.0,20.0,82.0,67.0,1014.4,1014.3,24.0,26.6,Yes
9243,2011-01-11,21.8,25.2,20.0,20.0,71.0,79.0,1014.5,1012.1,24.3,24.3,Yes
9251,2011-02-12,22.7,23.1,30.0,26.0,87.0,76.0,1014.7,1016.4,22.7,22.2,Yes
9254,2011-02-22,19.1,21.7,22.0,26.0,57.0,78.0,1021.6,1022.6,20.4,19.2,Yes
9259,2011-03-21,19.4,24.8,26.0,19.0,95.0,82.0,1006.6,1003.3,21.4,24.0,Yes
9261,2011-03-26,17.7,20.6,28.0,20.0,71.0,77.0,1019.2,1020.1,18.4,18.6,Yes
9264,2011-05-09,10.5,17.7,22.0,31.0,63.0,63.0,1014.5,1013.7,14.5,16.9,Yes
9266,2011-05-29,10.2,17.0,20.0,17.0,82.0,77.0,1025.1,1021.9,11.2,16.7,Yes
9267,2011-05-30,11.2,17.9,30.0,17.0,89.0,91.0,1020.5,1018.4,15.4,14.0,Yes
9270,2011-06-13,12.8,16.7,17.0,20.0,92.0,62.0,1023.9,1021.1,13.7,16.3,Yes
9271,2011-06-15,14.1,18.4,37.0,28.0,85.0,63.0,1023.3,1021.4,15.3,17.4,Yes
9272,2011-06-16,14.0,17.1,31.0,22.0,71.0,68.0,1021.2,1016.8,15.9,16.3,Yes
9288,2011-08-12,10.3,17.3,22.0,15.0,74.0,83.0,1018.0,1018.7,14.8,14.2,Yes
9291,2011-08-19,8.6,17.4,28.0,39.0,85.0,74.0,1014.2,1015.8,9.1,16.2,Yes
9302,2011-09-24,14.3,17.7,15.0,19.0,65.0,76.0,1021.4,1017.8,16.5,16.3,Yes
9303,2011-09-25,13.1,17.3,31.0,20.0,90.0,92.0,1018.6,1020.3,14.2,13.2,Yes
9304,2011-10-01,10.8,20.0,2.0,17.0,49.0,46.0,1006.5,1005.0,15.8,18.3,Yes
9317,2011-11-24,15.3,18.3,19.0,24.0,75.0,76.0,1026.6,1025.7,17.4,17.3,Yes
9318,2011-11-26,18.1,26.8,28.0,30.0,95.0,73.0,1007.6,1003.9,19.9,24.3,Yes
9320,2011-12-07,12.1,22.0,11.0,24.0,64.0,71.0,1016.3,1014.0,17.7,19.1,Yes
9323,2011-12-19,18.6,22.8,9.0,24.0,77.0,75.0,1011.2,1008.0,20.2,21.7,Yes
9329,2012-01-14,18.4,23.4,11.0,13.0,68.0,60.0,1017.2,1015.8,20.5,22.4,Yes
9330,2012-01-15,17.3,22.9,28.0,24.0,95.0,67.0,1019.4,1019.2,17.8,21.9,Yes
9332,2012-01-24,20.5,23.7,6.0,7.0,76.0,84.0,1018.5,1016.5,21.7,21.7,Yes
9335,2012-01-31,25.3,28.8,19.0,28.0,50.0,68.0,1005.2,1008.0,27.2,24.4,Yes
9336,2012-02-02,18.5,20.2,17.0,17.0,72.0,82.0,1012.0,1010.5,20.1,18.5,Yes
9338,2012-02-07,19.4,24.0,13.0,28.0,91.0,63.0,1007.5,1007.2,19.6,23.2,Yes
9340,2012-02-12,16.6,25.8,15.0,19.0,80.0,60.0,1015.3,1013.4,19.7,25.0,Yes
9343,2012-02-20,19.5,28.2,9.0,19.0,81.0,60.0,1011.8,1010.6,22.8,27.2,Yes
9346,2012-03-03,18.0,22.6,26.0,17.0,66.0,81.0,1019.6,1018.5,20.9,19.9,Yes
9347,2012-03-08,15.0,21.2,30.0,15.0,96.0,71.0,1005.4,1005.9,15.6,20.1,Yes
9351,2012-03-28,19.4,22.5,9.0,6.0,77.0,84.0,1023.2,1020.3,20.4,20.4,Yes
9356,2012-04-08,20.1,24.3,17.0,15.0,62.0,72.0,1019.2,1013.6,22.0,23.4,Yes
9359,2012-04-16,15.9,25.8,11.0,20.0,63.0,58.0,1023.9,1021.7,19.0,23.5,Yes
9360,2012-04-17,17.3,21.4,20.0,9.0,91.0,85.0,1022.9,1020.6,18.6,19.1,Yes
9361,2012-04-23,17.6,19.5,20.0,15.0,81.0,85.0,1014.0,1011.0,19.4,19.1,Yes
9371,2012-06-03,14.0,15.3,11.0,15.0,96.0,94.0,1014.6,1010.6,14.2,15.2,Yes
9372,2012-06-05,9.0,16.1,15.0,33.0,53.0,64.0,1000.4,1000.7,12.0,12.4,Yes
9373,2012-06-06,10.4,16.0,28.0,28.0,70.0,79.0,1016.1,1017.9,14.0,13.7,Yes
9375,2012-06-10,8.3,14.2,15.0,6.0,87.0,87.0,1026.2,1023.4,10.0,13.6,Yes
9376,2012-06-13,10.7,15.4,13.0,11.0,95.0,91.0,1021.1,1019.2,12.1,14.8,Yes
9379,2012-06-25,6.5,19.4,19.0,22.0,73.0,,1027.9,1023.7,8.6,19.2,Yes
9383,2012-07-10,8.4,18.0,9.0,22.0,92.0,67.0,1026.6,1021.1,10.2,17.6,Yes
9392,2012-07-30,7.3,15.9,24.0,28.0,54.0,36.0,1024.2,1022.2,9.6,15.3,Yes
9398,2012-08-10,7.6,14.9,31.0,26.0,42.0,76.0,1015.4,1016.6,10.4,12.2,Yes
9408,2012-09-18,12.4,20.6,9.0,20.0,63.0,66.0,1018.4,1013.8,17.9,18.2,Yes
9415,2012-10-10,11.1,25.7,20.0,26.0,,32.0,1011.7,1007.5,,22.9,Yes
9422,2012-11-19,12.8,21.1,17.0,26.0,44.0,45.0,1014.2,1015.6,18.1,19.9,Yes
9433,2013-01-26,23.7,28.2,17.0,30.0,73.0,70.0,1012.5,1011.1,26.5,27.0,Yes
9434,2013-01-28,20.5,23.0,7.0,24.0,88.0,92.0,1009.2,1008.1,22.7,21.6,Yes
9436,2013-03-02,17.9,23.1,30.0,31.0,73.0,78.0,1021.0,1020.8,19.0,20.1,Yes
9445,2013-04-03,17.0,18.6,22.0,20.0,88.0,79.0,1020.9,1021.7,17.0,18.0,Yes
9446,2013-04-07,14.2,22.7,9.0,15.0,73.0,62.0,1024.5,1021.6,19.0,22.2,Yes
9449,2013-04-15,17.4,27.9,9.0,11.0,75.0,49.0,1010.1,1007.4,19.0,26.2,Yes
9451,2013-04-19,13.3,20.2,20.0,35.0,50.0,39.0,1014.7,1012.8,15.3,20.0,Yes
9461,2013-05-22,9.4,16.0,17.0,20.0,71.0,79.0,1015.0,1010.1,11.2,14.5,Yes
9462,2013-05-23,10.6,17.4,11.0,22.0,93.0,71.0,1013.7,1012.7,13.4,16.4,Yes
9463,2013-05-26,9.5,21.3,20.0,4.0,70.0,45.0,1025.7,1023.0,11.3,20.2,Yes
9464,2013-05-27,10.6,20.2,22.0,24.0,84.0,58.0,1029.4,1028.2,11.6,19.4,Yes
9474,2013-06-28,12.9,16.1,9.0,15.0,93.0,83.0,1023.7,1022.5,13.3,16.0,Yes
9480,2013-07-30,11.1,21.5,13.0,6.0,73.0,49.0,1019.9,1017.8,12.8,19.7,Yes
9483,2013-08-07,10.8,17.9,17.0,15.0,57.0,49.0,1013.6,1009.3,13.0,16.0,Yes
9496,2013-09-16,14.6,17.7,6.0,35.0,75.0,91.0,1016.0,1010.0,16.5,16.5,Yes
9505,2013-10-27,14.6,22.3,17.0,20.0,51.0,55.0,1022.5,1020.4,20.5,20.5,Yes
9509,2013-11-12,15.6,22.8,4.0,6.0,92.0,66.0,1013.2,1011.8,17.4,21.9,Yes
9511,2013-11-15,15.9,23.3,2.0,26.0,68.0,62.0,1015.8,1014.6,20.7,22.6,Yes
9514,2013-11-29,19.5,20.9,13.0,19.0,72.0,83.0,1005.8,1008.8,20.9,17.1,Yes
9521,2013-12-25,18.7,21.5,6.0,13.0,85.0,88.0,1019.3,1016.4,18.9,20.1,Yes
9522,2013-12-26,18.7,26.6,13.0,24.0,82.0,51.0,1012.3,1010.5,21.5,25.2,Yes
9531,2014-01-20,21.7,25.9,11.0,24.0,71.0,65.0,1009.2,1008.0,24.1,25.1,Yes
9532,2014-01-21,19.8,25.0,20.0,15.0,79.0,68.0,1010.2,1008.0,21.6,23.9,Yes
9533,2014-01-24,19.7,26.3,20.0,28.0,69.0,61.0,1014.0,1008.0,23.9,26.0,Yes
9537,2014-02-05,17.5,24.5,26.0,26.0,59.0,46.0,1023.9,1022.3,20.6,22.7,Yes
9541,2014-02-12,22.1,26.3,19.0,22.0,78.0,68.0,1016.5,1015.6,23.5,25.8,Yes
9542,2014-02-15,20.9,24.9,2.0,17.0,88.0,82.0,1003.7,999.5,21.5,23.1,Yes
9544,2014-03-01,18.2,22.7,2.0,11.0,90.0,75.0,1020.5,1019.1,19.6,22.0,Yes
9545,2014-03-05,18.1,27.5,4.0,15.0,69.0,62.0,1018.6,1014.0,21.9,26.6,Yes
9551,2014-03-30,19.4,27.0,11.0,22.0,69.0,55.0,1020.1,1019.2,22.4,27.0,Yes
9554,2014-04-06,17.2,21.7,9.0,7.0,86.0,86.0,1020.9,1020.8,19.2,19.5,Yes
9555,2014-04-13,16.0,20.6,20.0,15.0,86.0,88.0,1016.8,1016.1,17.8,18.5,Yes
9559,2014-04-24,14.1,29.9,15.0,6.0,53.0,28.0,1013.7,1011.3,19.3,28.9,Yes
9560,2014-05-03,11.7,15.7,13.0,35.0,81.0,46.0,996.5,994.8,12.7,14.8,Yes
9567,2014-05-31,14.3,20.7,15.0,17.0,86.0,61.0,1026.9,1022.8,15.2,20.0,Yes
9568,2014-06-06,14.5,15.5,22.0,17.0,86.0,85.0,1026.3,1024.8,15.3,14.9,Yes
9577,2014-07-14,6.6,17.9,17.0,19.0,62.0,64.0,1032.0,1029.0,9.2,15.7,Yes
9579,2014-07-25,9.6,18.8,9.0,15.0,82.0,59.0,1023.0,1019.9,11.5,18.3,Yes
9580,2014-07-26,11.3,18.7,22.0,24.0,90.0,42.0,1024.9,1020.4,13.0,17.2,Yes
9586,2014-08-18,11.0,15.7,31.0,28.0,94.0,90.0,1001.8,1005.0,13.8,13.3,Yes
9587,2014-08-25,10.5,19.3,13.0,19.0,81.0,61.0,1025.7,1022.4,13.7,18.8,Yes
9589,2014-09-04,9.8,17.6,24.0,31.0,53.0,52.0,1015.9,1015.1,13.4,14.7,Yes
9590,2014-09-09,12.2,23.1,17.0,22.0,56.0,56.0,1019.4,1012.8,19.3,20.6,Yes
9603,2014-11-05,17.7,23.5,15.0,30.0,67.0,75.0,1017.1,1012.6,20.7,21.0,Yes
9607,2014-12-01,19.6,26.8,6.0,20.0,59.0,69.0,1011.0,1007.9,25.1,23.6,Yes
9619,2015-01-26,20.2,20.4,20.0,17.0,84.0,88.0,1013.2,1013.3,20.4,19.7,Yes
9620,2015-01-28,17.3,20.5,17.0,6.0,95.0,92.0,1013.3,1013.5,17.9,18.2,Yes
9630,2015-03-21,18.3,23.1,22.0,22.0,75.0,55.0,1024.7,1025.3,19.6,21.7,Yes
9631,2015-03-22,18.6,24.4,24.0,22.0,71.0,59.0,1024.4,1022.0,22.2,24.1,Yes
9632,2015-03-24,20.6,27.6,2.0,9.0,86.0,93.0,1012.1,1010.4,22.2,22.5,Yes
9636,2015-04-19,18.0,22.5,22.0,35.0,50.0,69.0,1018.5,1019.6,19.4,20.0,Yes
9637,2015-04-21,14.5,17.7,54.0,46.0,87.0,96.0,1019.6,1016.8,14.9,14.6,Yes
9639,2015-04-30,14.0,20.9,17.0,17.0,92.0,65.0,1031.3,1028.4,16.0,20.4,Yes
9641,2015-05-13,13.2,17.3,33.0,13.0,42.0,32.0,1015.3,1016.3,13.9,16.4,Yes
9650,2015-06-20,8.3,16.6,,13.0,76.0,59.0,1024.1,1023.4,9.8,14.1,Yes
9666,2015-08-16,10.5,19.8,13.0,15.0,70.0,63.0,1027.4,1021.4,14.0,17.4,Yes
9668,2015-08-22,12.9,28.3,19.0,11.0,45.0,32.0,1021.0,1016.2,19.8,26.9,Yes
9669,2015-08-23,15.4,18.5,7.0,7.0,85.0,73.0,1021.8,1018.4,15.6,17.9,Yes
9670,2015-08-24,15.1,17.4,17.0,9.0,90.0,95.0,1018.4,1015.0,16.3,16.4,Yes
9673,2015-09-02,8.0,18.8,11.0,19.0,61.0,46.0,1018.0,1012.0,11.9,18.6,Yes
9678,2015-09-18,13.6,20.0,20.0,26.0,65.0,44.0,1026.2,1025.5,15.8,18.9,Yes
9680,2015-09-25,10.1,16.4,13.0,26.0,91.0,63.0,1029.3,1027.8,13.4,15.9,Yes
9692,2015-10-26,17.5,29.4,9.0,13.0,54.0,53.0,1014.4,1015.1,24.6,22.2,Yes
9697,2015-11-05,16.0,23.4,30.0,26.0,94.0,80.0,1014.8,1010.5,18.2,20.5,Yes
9708,2015-12-26,18.8,26.1,17.0,17.0,74.0,77.0,1009.7,1006.0,22.7,23.4,Yes
9710,2016-01-03,20.2,24.6,20.0,22.0,63.0,84.0,1015.2,1014.7,22.2,19.9,Yes
9717,2016-01-26,21.6,27.8,11.0,19.0,73.0,54.0,1017.7,1017.3,22.9,26.4,Yes
9720,2016-02-04,19.1,24.8,24.0,33.0,87.0,55.0,1012.0,1012.8,19.7,23.5,Yes
9728,2016-02-21,21.4,27.0,9.0,13.0,89.0,67.0,1025.4,1024.6,21.9,26.6,Yes
9736,2016-03-17,19.0,26.1,4.0,15.0,92.0,59.0,1017.0,1012.9,19.6,25.5,Yes
9737,2016-03-20,17.4,22.0,15.0,20.0,63.0,81.0,1017.5,1016.8,18.6,18.1,Yes
9739,2016-03-29,20.6,23.3,13.0,19.0,84.0,84.0,1017.5,1016.0,21.2,21.1,Yes
9743,2016-04-17,19.1,23.2,15.0,17.0,73.0,77.0,1022.1,1020.4,20.1,20.5,Yes
9744,2016-04-18,15.1,24.2,17.0,17.0,75.0,68.0,1021.8,1019.2,18.9,21.2,Yes
9745,2016-04-19,16.9,23.9,13.0,17.0,83.0,68.0,1021.7,1020.1,19.5,22.2,Yes
9759,2016-06-27,7.4,11.7,26.0,9.0,74.0,74.0,1015.3,1013.6,9.3,11.0,Yes
9762,2016-07-08,12.4,15.6,17.0,7.0,92.0,80.0,1019.8,1018.4,12.7,15.5,Yes
9765,2016-07-19,11.4,24.9,0.0,6.0,71.0,58.0,1021.7,1019.1,18.0,23.0,Yes
9770,2016-08-23,8.5,18.4,19.0,20.0,69.0,57.0,1014.4,1013.5,11.9,15.4,Yes
9774,2016-09-09,14.7,22.7,6.0,22.0,61.0,60.0,1021.9,1015.9,19.5,21.2,Yes
9775,2016-09-13,16.0,20.2,15.0,9.0,73.0,69.0,1021.4,1017.8,17.5,18.9,Yes
9778,2016-09-21,14.0,21.2,9.0,15.0,61.0,78.0,1012.5,1007.5,16.0,16.8,Yes
9779,2016-09-24,12.5,22.3,13.0,17.0,55.0,63.0,1012.6,1007.9,18.4,20.6,Yes
9783,2016-10-12,10.7,23.6,26.0,24.0,45.0,32.0,1016.5,1012.5,14.3,20.7,Yes
9797,2016-12-06,20.4,23.6,15.0,7.0,86.0,83.0,1012.4,1010.6,20.6,22.2,Yes
9799,2016-12-14,27.1,37.2,24.0,33.0,23.0,16.0,1008.5,1007.0,32.4,34.1,Yes
9800,2016-12-15,17.4,19.1,17.0,15.0,88.0,81.0,1017.2,1017.4,17.7,17.7,Yes
9801,2016-12-16,17.2,25.4,17.0,4.0,89.0,86.0,1013.3,1009.3,18.8,20.2,Yes
9820,2017-02-08,20.7,27.0,37.0,19.0,79.0,85.0,1022.1,1021.8,24.6,23.1,Yes
9823,2017-02-17,22.6,29.9,9.0,9.0,66.0,59.0,1009.8,1005.7,26.6,26.8,Yes
9825,2017-02-24,21.8,28.0,7.0,15.0,69.0,56.0,1020.8,1018.6,24.5,27.3,Yes
9826,2017-02-28,20.7,26.7,19.0,17.0,63.0,61.0,1022.7,1021.4,25.1,26.4,Yes
9827,2017-03-03,20.7,24.8,6.0,17.0,89.0,85.0,1016.9,1016.0,21.7,22.2,Yes
9829,2017-03-17,20.0,22.7,26.0,35.0,83.0,81.0,1018.4,1020.6,20.3,20.5,Yes
9830,2017-03-18,19.3,25.8,24.0,22.0,88.0,79.0,1022.9,1022.2,21.8,24.1,Yes
9832,2017-03-24,18.5,24.1,13.0,20.0,85.0,70.0,1019.9,1019.1,20.4,21.7,Yes
9834,2017-03-30,22.5,26.0,19.0,28.0,70.0,88.0,1007.0,1007.7,25.2,19.2,Yes
9836,2017-04-02,17.0,22.0,15.0,22.0,66.0,59.0,1025.1,1024.7,19.8,20.1,Yes
9837,2017-04-03,14.8,22.0,19.0,24.0,90.0,49.0,1028.4,1026.3,15.7,21.8,Yes
9838,2017-04-12,15.0,22.7,19.0,17.0,71.0,75.0,1023.7,1022.2,17.4,20.2,Yes
9842,2017-05-02,14.6,23.9,17.0,15.0,65.0,33.0,1017.5,1016.0,17.2,23.2,Yes
9843,2017-05-03,14.9,18.4,17.0,15.0,61.0,67.0,1027.0,1027.3,16.9,16.3,Yes
9846,2017-05-14,14.7,18.7,7.0,9.0,89.0,74.0,1021.9,1019.2,16.3,18.1,Yes
9855,2017-06-07,8.8,15.5,24.0,17.0,82.0,85.0,1020.2,1019.6,13.3,14.2,Yes
9856,2017-06-10,12.5,18.1,17.0,15.0,85.0,70.0,1031.9,1030.2,15.8,17.5,Yes
9857,2017-06-13,9.5,18.7,20.0,22.0,82.0,62.0,1030.0,1029.1,11.2,18.2,Yes
9859,2017-06-19,11.2,18.3,17.0,19.0,79.0,69.0,1030.4,1028.4,12.7,17.2,Yes
9867,2009-01-20,19.5,31.7,7.0,41.0,51.0,38.0,1013.8,1009.9,25.8,31.1,Yes
9873,2009-02-15,17.0,23.2,28.0,30.0,88.0,85.0,1014.9,1014.1,19.5,20.9,Yes
9889,2009-04-01,18.8,25.2,33.0,30.0,95.0,66.0,1021.4,1021.1,20.3,24.8,Yes
9890,2009-04-02,19.8,25.3,24.0,19.0,93.0,76.0,1023.4,1021.8,20.6,23.9,Yes
9897,2009-04-29,9.7,16.9,15.0,33.0,55.0,69.0,1022.2,1019.6,13.9,15.8,Yes
9899,2009-05-02,10.4,20.0,13.0,33.0,57.0,69.0,1024.9,1022.7,15.9,19.3,Yes
9903,2009-05-10,12.2,19.0,31.0,22.0,92.0,57.0,1024.2,1023.5,15.3,18.0,Yes
9907,2009-05-20,15.0,21.6,11.0,31.0,93.0,66.0,1022.2,1020.4,16.6,19.3,Yes
9908,2009-05-22,16.3,20.2,41.0,28.0,57.0,91.0,1023.8,1020.9,19.0,17.0,Yes
9915,2009-06-16,8.5,15.2,31.0,35.0,81.0,87.0,1017.5,1019.8,14.8,14.6,Yes
9916,2009-06-17,10.5,16.4,15.0,22.0,92.0,76.0,1027.2,1026.4,11.7,15.2,Yes
9917,2009-06-21,13.1,19.7,9.0,24.0,92.0,81.0,1023.6,1020.3,14.2,18.3,Yes
9920,2009-06-28,10.9,19.8,15.0,17.0,80.0,47.0,1006.0,1004.1,12.5,18.8,Yes
9926,2009-07-26,8.2,15.2,15.0,9.0,74.0,75.0,1018.9,1014.0,10.6,13.2,Yes
9939,2009-09-07,13.4,21.5,19.0,35.0,65.0,53.0,1008.4,1000.4,15.7,20.2,Yes
9949,2009-10-17,11.7,20.1,11.0,26.0,53.0,45.0,1020.8,1020.5,16.1,19.5,Yes
9956,2009-11-05,16.4,19.8,28.0,26.0,96.0,81.0,1021.2,1021.9,16.7,18.4,Yes
9967,2009-12-16,21.9,29.1,22.0,41.0,70.0,60.0,1020.1,1015.5,24.6,27.9,Yes
9968,2009-12-26,17.6,20.3,31.0,30.0,93.0,87.0,1016.1,1016.4,17.9,18.6,Yes
9974,2010-01-28,22.0,27.0,9.0,22.0,85.0,74.0,1012.2,1009.2,23.1,25.1,Yes
9976,2010-02-07,20.3,24.0,31.0,31.0,92.0,87.0,1021.5,1020.7,21.1,23.5,Yes
9977,2010-02-12,23.6,38.6,13.0,22.0,61.0,31.0,1008.5,1005.1,28.4,36.8,Yes
9978,2010-02-14,21.9,28.0,9.0,11.0,92.0,91.0,1007.3,1004.4,23.3,24.2,Yes
9979,2010-03-01,19.2,20.6,31.0,19.0,73.0,82.0,1019.1,,19.4,19.7,Yes
9986,2010-04-04,15.5,20.8,20.0,28.0,84.0,75.0,1023.1,1020.7,17.6,19.4,Yes
10000,2010-05-17,13.1,18.1,13.0,11.0,80.0,75.0,1019.8,1016.8,14.3,16.1,Yes
10001,2010-05-18,12.4,15.6,19.0,19.0,97.0,93.0,1018.5,1017.6,13.2,14.8,Yes
10002,2010-05-21,11.6,19.6,9.0,30.0,66.0,65.0,1020.6,1018.1,17.5,18.4,Yes
10003,2010-05-22,10.8,17.1,19.0,37.0,94.0,68.0,1021.7,1020.0,11.2,16.9,Yes
10004,2010-05-31,12.4,18.9,50.0,44.0,76.0,73.0,1008.3,1010.5,18.3,18.4,Yes
10005,2010-06-02,10.3,18.7,11.0,26.0,73.0,72.0,1020.9,1019.6,14.5,17.8,Yes
10012,2010-06-22,13.4,16.1,30.0,11.0,84.0,88.0,1036.9,1035.9,14.9,13.9,Yes
10018,2010-07-05,8.0,13.8,13.0,13.0,68.0,89.0,1027.1,1024.1,11.4,12.9,Yes
10019,2010-07-06,10.2,17.0,11.0,35.0,86.0,84.0,1016.8,1015.3,12.7,14.0,Yes
10021,2010-07-08,7.7,14.6,33.0,22.0,77.0,99.0,1026.8,1025.6,13.9,12.4,Yes
10025,2010-07-20,7.4,14.9,20.0,26.0,60.0,57.0,1022.4,1021.4,12.1,14.4,Yes
10027,2010-07-26,9.2,15.9,11.0,17.0,91.0,79.0,1034.2,1032.7,11.8,14.7,Yes
10031,2010-08-18,6.0,20.4,13.0,31.0,54.0,47.0,1020.6,1011.7,11.3,18.9,Yes
